case_id,case_type,d810,ddserver,session_manager,s10,operating_mode,log_profile,delivery_profile,ordered_events,expected_invariant
AUTO-001,automated_pipeline,ready,healthy,stable,foreground,remote_idle,normal,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
AUTO-002,automated_pipeline,standby_wake,term_recover,stale_session_repair,background_resume,remote_idle,trace_burst,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
AUTO-003,automated_pipeline,standby_wake,restart_during_request,bridge_term_recover,foreground,liveview,rotation_boundary,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
AUTO-004,automated_pipeline,ready,term_recover,bridge_term_recover,background_resume,liveview,normal,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
AUTO-005,automated_pipeline,ready,restart_during_request,stable,background_resume,liveview,rotation_boundary,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
AUTO-006,automated_pipeline,standby_wake,healthy,bridge_term_recover,background_resume,liveview,trace_burst,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
AUTO-007,automated_pipeline,ready,healthy,bridge_term_recover,foreground,remote_idle,trace_burst,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
AUTO-008,automated_pipeline,standby_wake,healthy,stable,wifi_reconnect,remote_idle,trace_burst,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
AUTO-009,automated_pipeline,ready,restart_during_request,stale_session_repair,force_stop_relaunch,remote_idle,rotation_boundary,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
AUTO-010,automated_pipeline,standby_wake,healthy,bridge_term_recover,force_stop_relaunch,liveview,normal,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
AUTO-011,automated_pipeline,ready,restart_during_request,websocket_reconnect,force_stop_relaunch,liveview,trace_burst,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
