case_id,case_type,d810,ddserver,session_manager,s10,operating_mode,log_profile,delivery_profile,ordered_events,expected_invariant
PIPE-001,pipeline_combination,ready,healthy,stable,foreground,remote_idle,normal,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-002,pipeline_combination,power_cycle_recover,term_recover,bridge_term_recover,force_stop_relaunch,remote_idle,rotation_boundary,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-003,pipeline_combination,usb_reconnect,restart_during_request,stale_session_repair,foreground,liveview,rotation_boundary,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-004,pipeline_combination,usb_reconnect,term_recover,websocket_reconnect,foreground,liveview,trace_burst,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-005,pipeline_combination,standby_wake,term_recover,websocket_reconnect,foreground,liveview,normal,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-006,pipeline_combination,ready,healthy,bridge_term_recover,background_resume,liveview,trace_burst,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-007,pipeline_combination,standby_wake,healthy,bridge_term_recover,background_resume,remote_idle,rotation_boundary,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-008,pipeline_combination,usb_reconnect,restart_during_request,bridge_term_recover,foreground,remote_idle,trace_burst,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-009,pipeline_combination,ready,restart_during_request,stable,force_stop_relaunch,liveview,normal,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-010,pipeline_combination,standby_wake,term_recover,stale_session_repair,foreground,remote_idle,trace_burst,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-011,pipeline_combination,usb_reconnect,term_recover,bridge_term_recover,wifi_reconnect,liveview,normal,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-012,pipeline_combination,standby_wake,term_recover,websocket_reconnect,wifi_reconnect,liveview,rotation_boundary,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-013,pipeline_combination,ready,restart_during_request,stable,background_resume,remote_idle,rotation_boundary,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-014,pipeline_combination,power_cycle_recover,term_recover,stale_session_repair,force_stop_relaunch,liveview,normal,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-015,pipeline_combination,power_cycle_recover,healthy,stale_session_repair,wifi_reconnect,remote_idle,trace_burst,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-016,pipeline_combination,standby_wake,term_recover,stable,background_resume,liveview,trace_burst,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-017,pipeline_combination,ready,term_recover,websocket_reconnect,force_stop_relaunch,liveview,trace_burst,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-018,pipeline_combination,ready,term_recover,bridge_term_recover,background_resume,liveview,normal,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-019,pipeline_combination,standby_wake,healthy,stale_session_repair,wifi_reconnect,remote_idle,normal,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-020,pipeline_combination,power_cycle_recover,restart_during_request,websocket_reconnect,wifi_reconnect,liveview,normal,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-021,pipeline_combination,ready,term_recover,stable,foreground,remote_idle,rotation_boundary,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-022,pipeline_combination,power_cycle_recover,restart_during_request,stale_session_repair,foreground,liveview,normal,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-023,pipeline_combination,ready,restart_during_request,bridge_term_recover,foreground,liveview,rotation_boundary,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-024,pipeline_combination,standby_wake,restart_during_request,stale_session_repair,force_stop_relaunch,liveview,trace_burst,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-025,pipeline_combination,ready,term_recover,websocket_reconnect,foreground,liveview,normal,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-026,pipeline_combination,ready,term_recover,stale_session_repair,foreground,remote_idle,rotation_boundary,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-027,pipeline_combination,standby_wake,restart_during_request,websocket_reconnect,foreground,liveview,trace_burst,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-028,pipeline_combination,usb_reconnect,term_recover,websocket_reconnect,force_stop_relaunch,liveview,trace_burst,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-029,pipeline_combination,ready,healthy,bridge_term_recover,wifi_reconnect,liveview,normal,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-030,pipeline_combination,ready,healthy,bridge_term_recover,force_stop_relaunch,remote_idle,rotation_boundary,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-031,pipeline_combination,ready,restart_during_request,stale_session_repair,background_resume,remote_idle,normal,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-032,pipeline_combination,ready,restart_during_request,bridge_term_recover,background_resume,liveview,trace_burst,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-033,pipeline_combination,ready,restart_during_request,stable,foreground,liveview,rotation_boundary,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-034,pipeline_combination,power_cycle_recover,term_recover,stable,foreground,liveview,rotation_boundary,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-035,pipeline_combination,standby_wake,restart_during_request,stable,wifi_reconnect,remote_idle,normal,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-036,pipeline_combination,standby_wake,restart_during_request,stale_session_repair,foreground,liveview,trace_burst,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-037,pipeline_combination,power_cycle_recover,healthy,bridge_term_recover,force_stop_relaunch,remote_idle,normal,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-038,pipeline_combination,usb_reconnect,term_recover,bridge_term_recover,foreground,liveview,normal,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-039,pipeline_combination,power_cycle_recover,healthy,stale_session_repair,force_stop_relaunch,liveview,rotation_boundary,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-040,pipeline_combination,standby_wake,term_recover,stable,force_stop_relaunch,liveview,trace_burst,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-041,pipeline_combination,standby_wake,restart_during_request,stable,background_resume,liveview,normal,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-042,pipeline_combination,power_cycle_recover,healthy,stale_session_repair,foreground,liveview,trace_burst,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-043,pipeline_combination,ready,healthy,stale_session_repair,foreground,liveview,rotation_boundary,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-044,pipeline_combination,standby_wake,restart_during_request,stale_session_repair,background_resume,remote_idle,trace_burst,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-045,pipeline_combination,ready,healthy,websocket_reconnect,background_resume,liveview,trace_burst,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-046,pipeline_combination,ready,term_recover,bridge_term_recover,foreground,liveview,trace_burst,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-047,pipeline_combination,standby_wake,term_recover,websocket_reconnect,force_stop_relaunch,liveview,rotation_boundary,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-048,pipeline_combination,standby_wake,healthy,bridge_term_recover,foreground,liveview,normal,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-049,pipeline_combination,usb_reconnect,restart_during_request,stale_session_repair,wifi_reconnect,remote_idle,trace_burst,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-050,pipeline_combination,ready,restart_during_request,stale_session_repair,foreground,liveview,trace_burst,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-051,pipeline_combination,standby_wake,healthy,stale_session_repair,force_stop_relaunch,liveview,rotation_boundary,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-052,pipeline_combination,ready,term_recover,stale_session_repair,background_resume,remote_idle,normal,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-053,pipeline_combination,ready,healthy,stable,force_stop_relaunch,liveview,rotation_boundary,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-054,pipeline_combination,power_cycle_recover,healthy,websocket_reconnect,foreground,liveview,trace_burst,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-055,pipeline_combination,ready,healthy,stable,wifi_reconnect,liveview,rotation_boundary,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-056,pipeline_combination,usb_reconnect,healthy,stable,background_resume,liveview,normal,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-057,pipeline_combination,standby_wake,term_recover,websocket_reconnect,background_resume,liveview,rotation_boundary,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-058,pipeline_combination,ready,restart_during_request,stable,wifi_reconnect,remote_idle,rotation_boundary,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-059,pipeline_combination,usb_reconnect,restart_during_request,websocket_reconnect,force_stop_relaunch,liveview,rotation_boundary,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-060,pipeline_combination,power_cycle_recover,healthy,websocket_reconnect,wifi_reconnect,liveview,normal,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-061,pipeline_combination,ready,term_recover,stale_session_repair,force_stop_relaunch,liveview,rotation_boundary,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-062,pipeline_combination,power_cycle_recover,restart_during_request,websocket_reconnect,background_resume,liveview,trace_burst,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-063,pipeline_combination,usb_reconnect,term_recover,stable,force_stop_relaunch,remote_idle,normal,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-064,pipeline_combination,power_cycle_recover,restart_during_request,bridge_term_recover,background_resume,remote_idle,rotation_boundary,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-065,pipeline_combination,power_cycle_recover,healthy,stable,foreground,remote_idle,normal,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-066,pipeline_combination,standby_wake,term_recover,stale_session_repair,force_stop_relaunch,liveview,rotation_boundary,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-067,pipeline_combination,standby_wake,healthy,bridge_term_recover,force_stop_relaunch,liveview,rotation_boundary,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-068,pipeline_combination,standby_wake,term_recover,bridge_term_recover,force_stop_relaunch,remote_idle,rotation_boundary,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-069,pipeline_combination,ready,healthy,bridge_term_recover,foreground,liveview,normal,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-070,pipeline_combination,standby_wake,term_recover,stable,foreground,remote_idle,normal,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-071,pipeline_combination,standby_wake,healthy,websocket_reconnect,wifi_reconnect,liveview,rotation_boundary,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-072,pipeline_combination,usb_reconnect,healthy,stale_session_repair,force_stop_relaunch,remote_idle,rotation_boundary,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-073,pipeline_combination,standby_wake,restart_during_request,websocket_reconnect,force_stop_relaunch,liveview,trace_burst,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-074,pipeline_combination,power_cycle_recover,healthy,bridge_term_recover,foreground,remote_idle,normal,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-075,pipeline_combination,power_cycle_recover,term_recover,stable,wifi_reconnect,liveview,trace_burst,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-076,pipeline_combination,usb_reconnect,healthy,bridge_term_recover,wifi_reconnect,remote_idle,rotation_boundary,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-077,pipeline_combination,power_cycle_recover,restart_during_request,stable,force_stop_relaunch,liveview,trace_burst,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-078,pipeline_combination,ready,healthy,websocket_reconnect,foreground,liveview,trace_burst,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-079,pipeline_combination,ready,term_recover,websocket_reconnect,background_resume,liveview,rotation_boundary,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-080,pipeline_combination,usb_reconnect,restart_during_request,websocket_reconnect,wifi_reconnect,liveview,trace_burst,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-081,pipeline_combination,power_cycle_recover,term_recover,websocket_reconnect,force_stop_relaunch,liveview,normal,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-082,pipeline_combination,standby_wake,restart_during_request,bridge_term_recover,foreground,remote_idle,trace_burst,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-083,pipeline_combination,standby_wake,healthy,stable,foreground,liveview,rotation_boundary,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-084,pipeline_combination,standby_wake,restart_during_request,bridge_term_recover,force_stop_relaunch,remote_idle,trace_burst,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-085,pipeline_combination,ready,term_recover,stable,wifi_reconnect,remote_idle,rotation_boundary,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-086,pipeline_combination,ready,term_recover,websocket_reconnect,wifi_reconnect,liveview,trace_burst,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-087,pipeline_combination,power_cycle_recover,restart_during_request,stable,wifi_reconnect,liveview,rotation_boundary,backlog_recovery,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-088,pipeline_combination,ready,restart_during_request,bridge_term_recover,wifi_reconnect,liveview,rotation_boundary,normal,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
PIPE-089,pipeline_combination,usb_reconnect,healthy,stable,wifi_reconnect,liveview,normal,puller_restart,d810>ddserver>session_manager>s10>assert,pipeline_converges_once_and_trace_is_complete
