case_id,operating_mode,camera_power_cycle,ddserver_fault,bridge_fault,websocket_fault,supervisor_fault,s10_lifecycle,s10_network,pc_path,log_pressure,checkpoint_mode,outbox_mode,opal_power_event,fault_timing
PW-001,body_ready,stable,none,none,none,none,foreground,healthy,both_available,normal,normal,normal,stable,steady
PW-002,remote_idle,off_on,term,service_restart,term,runtime_guardian_term,doze_resume,disconnect_reconnect,offline_then_return,rotation_boundary,concurrent,backlog_recovery,stable,during_transfer
PW-003,liveview,standby_wake,service_restart,hang,stale_connection,none,background,disconnect_reconnect,local_only,trace_burst,process_term,stale_lock_recovery,stable,during_checkpoint
PW-004,liveview,standby_wake,term,term,term,session_health_term,force_stopped,degraded,tailscale_only,rotation_boundary,normal,normal,stable,during_recovery
PW-005,liveview,off_on,none,none,none,none,doze_resume,degraded,both_available,trace_burst,concurrent,backlog_recovery,forced_reboot_no_sync,during_request
PW-006,body_ready,stable,none,hang,stale_connection,boot_watch_term,force_stopped,healthy,tailscale_only,normal,concurrent,puller_term_during_download,stable,during_transfer
PW-007,remote_idle,stable,service_restart,term,term,battery_worker_term,foreground,healthy,offline_then_return,normal,normal,stale_lock_recovery,stable,during_request
PW-008,body_ready,stable,none,service_restart,none,runtime_guardian_term,background,healthy,local_only,rotation_boundary,process_term,normal,stable,during_checkpoint
PW-009,body_ready,off_on,service_restart,term,stale_connection,boot_watch_term,doze_resume,healthy,local_only,normal,normal,backlog_recovery,stable,during_recovery
PW-010,remote_idle,standby_wake,term,none,none,battery_worker_term,force_stopped,disconnect_reconnect,tailscale_only,trace_burst,concurrent,stale_lock_recovery,stable,steady
PW-011,liveview,standby_wake,term,service_restart,none,boot_watch_term,foreground,degraded,offline_then_return,trace_burst,normal,puller_term_during_download,stable,during_transfer
PW-012,remote_idle,stable,term,none,term,session_health_term,background,degraded,both_available,normal,process_term,stale_lock_recovery,stable,during_checkpoint
PW-013,body_ready,off_on,none,hang,stale_connection,session_health_term,foreground,disconnect_reconnect,offline_then_return,normal,concurrent,normal,stable,during_request
PW-014,body_ready,standby_wake,service_restart,term,stale_connection,battery_worker_term,doze_resume,degraded,both_available,rotation_boundary,concurrent,puller_term_during_download,stable,during_transfer
PW-015,body_ready,stable,none,none,none,none,doze_resume,disconnect_reconnect,offline_then_return,rotation_boundary,interrupted_by_reboot,backlog_recovery,forced_reboot_no_sync,during_checkpoint
PW-016,liveview,off_on,service_restart,service_restart,stale_connection,runtime_guardian_term,background,degraded,tailscale_only,normal,normal,normal,stable,steady
PW-017,body_ready,off_on,none,none,none,none,force_stopped,disconnect_reconnect,local_only,rotation_boundary,concurrent,stale_lock_recovery,graceful_reboot,during_request
PW-018,remote_idle,standby_wake,none,term,term,runtime_guardian_term,foreground,disconnect_reconnect,local_only,trace_burst,normal,stale_lock_recovery,stable,during_recovery
PW-019,body_ready,off_on,term,term,none,none,force_stopped,healthy,tailscale_only,trace_burst,process_term,backlog_recovery,stable,during_checkpoint
PW-020,remote_idle,standby_wake,service_restart,hang,term,boot_watch_term,background,disconnect_reconnect,offline_then_return,rotation_boundary,concurrent,backlog_recovery,stable,steady
PW-021,remote_idle,standby_wake,term,none,term,none,background,degraded,local_only,normal,normal,puller_term_during_download,stable,during_transfer
PW-022,remote_idle,standby_wake,term,service_restart,stale_connection,session_health_term,doze_resume,healthy,tailscale_only,trace_burst,normal,normal,stable,during_request
PW-023,liveview,stable,service_restart,hang,none,battery_worker_term,foreground,degraded,offline_then_return,rotation_boundary,concurrent,backlog_recovery,stable,during_recovery
PW-024,body_ready,standby_wake,none,none,none,none,foreground,healthy,both_available,normal,interrupted_by_reboot,normal,forced_reboot_no_sync,during_checkpoint
PW-025,body_ready,stable,none,none,none,none,foreground,healthy,both_available,normal,normal,normal,graceful_reboot,during_recovery
PW-026,body_ready,off_on,service_restart,service_restart,none,boot_watch_term,force_stopped,disconnect_reconnect,both_available,rotation_boundary,concurrent,stale_lock_recovery,stable,during_request
PW-027,liveview,off_on,none,hang,term,battery_worker_term,doze_resume,healthy,local_only,trace_burst,normal,normal,stable,steady
PW-028,liveview,standby_wake,service_restart,none,stale_connection,boot_watch_term,foreground,disconnect_reconnect,offline_then_return,normal,process_term,normal,stable,during_checkpoint
PW-029,liveview,standby_wake,term,hang,term,runtime_guardian_term,force_stopped,disconnect_reconnect,both_available,rotation_boundary,concurrent,puller_term_during_download,stable,during_transfer
PW-030,remote_idle,standby_wake,none,none,none,none,foreground,disconnect_reconnect,tailscale_only,trace_burst,concurrent,stale_lock_recovery,graceful_reboot,during_checkpoint
PW-031,liveview,off_on,service_restart,term,term,session_health_term,background,degraded,local_only,trace_burst,normal,puller_term_during_download,stable,during_transfer
PW-032,body_ready,off_on,none,none,none,none,doze_resume,degraded,both_available,trace_burst,interrupted_by_reboot,stale_lock_recovery,forced_reboot_no_sync,during_checkpoint
PW-033,body_ready,stable,none,none,term,runtime_guardian_term,force_stopped,disconnect_reconnect,offline_then_return,trace_burst,concurrent,stale_lock_recovery,stable,during_request
PW-034,liveview,stable,none,none,none,none,doze_resume,degraded,offline_then_return,rotation_boundary,normal,backlog_recovery,graceful_reboot,during_recovery
PW-035,body_ready,standby_wake,none,none,none,none,force_stopped,degraded,tailscale_only,rotation_boundary,normal,stale_lock_recovery,forced_reboot_no_sync,during_recovery
PW-036,liveview,standby_wake,none,service_restart,term,battery_worker_term,background,healthy,both_available,rotation_boundary,process_term,normal,stable,during_checkpoint
PW-037,liveview,standby_wake,none,term,none,session_health_term,doze_resume,disconnect_reconnect,local_only,normal,normal,backlog_recovery,stable,steady
PW-038,remote_idle,stable,term,service_restart,none,none,background,healthy,offline_then_return,rotation_boundary,concurrent,stale_lock_recovery,stable,during_recovery
PW-039,remote_idle,standby_wake,none,none,none,none,background,disconnect_reconnect,both_available,trace_burst,normal,stale_lock_recovery,forced_reboot_no_sync,steady
PW-040,body_ready,stable,none,none,none,none,foreground,healthy,both_available,normal,normal,puller_term_during_download,forced_reboot_no_sync,during_transfer
PW-041,body_ready,stable,none,none,none,none,foreground,healthy,both_available,normal,normal,puller_term_during_download,graceful_reboot,during_transfer
PW-042,body_ready,stable,none,none,none,none,foreground,healthy,local_only,normal,interrupted_by_reboot,normal,forced_reboot_no_sync,during_checkpoint
PW-043,body_ready,stable,none,none,none,none,background,healthy,both_available,normal,normal,normal,graceful_reboot,steady
PW-044,body_ready,stable,none,none,none,none,foreground,healthy,both_available,normal,process_term,normal,forced_reboot_no_sync,during_checkpoint
PW-045,body_ready,stable,none,none,none,none,foreground,healthy,both_available,normal,process_term,normal,graceful_reboot,during_checkpoint
PW-046,liveview,stable,none,none,none,none,foreground,healthy,both_available,normal,interrupted_by_reboot,normal,forced_reboot_no_sync,during_checkpoint
PW-047,remote_idle,stable,none,none,none,none,foreground,healthy,both_available,normal,interrupted_by_reboot,normal,forced_reboot_no_sync,during_checkpoint
PW-048,body_ready,stable,none,none,none,none,foreground,healthy,tailscale_only,normal,interrupted_by_reboot,normal,forced_reboot_no_sync,during_checkpoint
PW-049,body_ready,stable,none,none,none,none,background,healthy,both_available,normal,interrupted_by_reboot,normal,forced_reboot_no_sync,during_checkpoint
PW-050,body_ready,stable,none,none,none,none,background,healthy,both_available,normal,normal,normal,stable,during_request
PW-051,body_ready,stable,none,none,none,none,doze_resume,healthy,both_available,normal,process_term,normal,stable,during_checkpoint
PW-052,body_ready,stable,none,none,none,none,force_stopped,healthy,both_available,normal,interrupted_by_reboot,normal,forced_reboot_no_sync,during_checkpoint
