profile,before_step,inject_set,recover_set
runtime_dense,baseline_observe,none,none
runtime_dense,session_open,pc_path+puller+supervisor,none
runtime_dense,request_begin,none,none
runtime_dense,camera_command,s10_lifecycle+s10_network+websocket,none
runtime_dense,response_recorded,none,none
runtime_dense,checkpoint_begin,bridge+camera_power+ddserver,none
runtime_dense,checkpoint_commit,checkpoint_worker,bridge+camera_power+checkpoint_worker
runtime_dense,outbox_ready,none,none
runtime_dense,transfer_begin,none,ddserver+pc_path+puller+s10_lifecycle+s10_network+supervisor+websocket
runtime_dense,transfer_verify,none,none
runtime_dense,transfer_ack,none,none
runtime_dense,final_assert,none,none
reboot_checkpoint,baseline_observe,none,none
reboot_checkpoint,session_open,pc_path+puller,none
reboot_checkpoint,request_begin,none,none
reboot_checkpoint,camera_command,s10_lifecycle+s10_network,none
reboot_checkpoint,response_recorded,none,none
reboot_checkpoint,checkpoint_begin,none,none
reboot_checkpoint,checkpoint_commit,opal_power,opal_power
reboot_checkpoint,outbox_ready,none,none
reboot_checkpoint,transfer_begin,none,pc_path+puller+s10_lifecycle+s10_network
reboot_checkpoint,transfer_verify,none,none
reboot_checkpoint,transfer_ack,none,none
reboot_checkpoint,final_assert,none,none
