profile,event_index,event
runtime_dense,1,baseline_observe
runtime_dense,2,inject:pc_path
runtime_dense,3,inject:puller
runtime_dense,4,inject:supervisor
runtime_dense,5,session_open
runtime_dense,6,request_begin
runtime_dense,7,inject:s10_lifecycle
runtime_dense,8,inject:s10_network
runtime_dense,9,inject:websocket
runtime_dense,10,camera_command
runtime_dense,11,response_recorded
runtime_dense,12,inject:bridge
runtime_dense,13,inject:camera_power
runtime_dense,14,inject:ddserver
runtime_dense,15,checkpoint_begin
runtime_dense,16,inject:checkpoint_worker
runtime_dense,17,recover:bridge
runtime_dense,18,recover:camera_power
runtime_dense,19,recover:checkpoint_worker
runtime_dense,20,checkpoint_commit
runtime_dense,21,outbox_ready
runtime_dense,22,recover:ddserver
runtime_dense,23,recover:pc_path
runtime_dense,24,recover:puller
runtime_dense,25,recover:s10_lifecycle
runtime_dense,26,recover:s10_network
runtime_dense,27,recover:supervisor
runtime_dense,28,recover:websocket
runtime_dense,29,transfer_begin
runtime_dense,30,transfer_verify
runtime_dense,31,transfer_ack
runtime_dense,32,final_assert
reboot_checkpoint,1,baseline_observe
reboot_checkpoint,2,inject:pc_path
reboot_checkpoint,3,inject:puller
reboot_checkpoint,4,session_open
reboot_checkpoint,5,request_begin
reboot_checkpoint,6,inject:s10_lifecycle
reboot_checkpoint,7,inject:s10_network
reboot_checkpoint,8,camera_command
reboot_checkpoint,9,response_recorded
reboot_checkpoint,10,checkpoint_begin
reboot_checkpoint,11,inject:opal_power
reboot_checkpoint,12,recover:opal_power
reboot_checkpoint,13,checkpoint_commit
reboot_checkpoint,14,outbox_ready
reboot_checkpoint,15,recover:pc_path
reboot_checkpoint,16,recover:puller
reboot_checkpoint,17,recover:s10_lifecycle
reboot_checkpoint,18,recover:s10_network
reboot_checkpoint,19,transfer_begin
reboot_checkpoint,20,transfer_verify
reboot_checkpoint,21,transfer_ack
reboot_checkpoint,22,final_assert
