"FrameId","ReceivedElapsedMs","ReceiveGapMs","ProducerGapMs","TransportAfterCaptureMs","CaptureMs","Bytes","IdGap"
"3258","190.312","0","0","-1102","20","33350","0"
"3259","325.945","135.633","44","-1010","34","33489","0"
"3260","435.022","109.077","27","-935","22","33450","0"
"3261","522.861","87.839","28","-875","27","33450","0"
"3262","588.949","66.088","33","-842","31","32690","0"
"3263","691.719","102.769","55","-794","53","32888","0"
"3264","762.695","70.976","31","-754","30","33806","0"
"3265","803.499","40.804","33","-746","16","33881","0"
"3266","850.209","46.71","22","-722","20","33881","0"
"3267","903.773","53.564","65","-733","41","33154","0"
"3268","988.24","84.467","68","-717","65","32796","0"
"3269","1121.349","133.109","101","-685","74","33327","0"
"3270","1150.571","29.222","27","-682","25","33612","0"
"3271","1201.004","50.433","19","-651","17","33612","0"
"3272","1328.31","127.306","15","-539","13","33028","0"
"3273","1435.666","107.356","22","-454","21","33028","0"
"3274","1468.208","32.543","19","-440","14","32762","0"
"3275","1509.485","41.277","30","-428","26","32762","0"
"3276","1554.453","44.968","19","-403","16","33080","0"
"3277","1659.21","104.757","24","-322","18","33080","0"
"3278","1760.957","101.748","17","-237","14","34083","0"
"3279","1851.376","90.418","27","-174","25","34083","0"
"3280","1965.851","114.475","21","-80","20","33246","0"
"3281","2087.831","121.98","19","23","17","33246","0"
"3282","2207.392","119.561","13","129","12","32291","0"
"3283","2246.293","38.902","14","154","13","32291","0"
"3284","2281.806","35.513","25","165","23","32291","0"
"3285","2403.845","122.039","20","267","18","33180","0"
"3286","2498.324","94.479","24","337","22","33180","0"
"3287","2617.157","118.833","24","432","23","34279","0"
"3288","2670.736","53.579","29","457","25","34279","0"
"3289","2753.628","82.892","33","507","16","33405","0"
"3290","2843.468","89.839","14","582","13","33405","0"
"3291","2933.392","89.925","31","642","22","32224","0"
"3292","3010.079","76.686","19","699","18","33320","0"
"3293","3070.3","60.221","28","731","27","33320","0"
"3294","3165.455","95.156","18","808","17","34025","0"
"3295","3315.084","149.628","28","930","26","34025","0"
"3296","3393.519","78.436","19","990","18","33468","0"
"3297","3504.917","111.398","23","1078","20","33468","0"
"3298","3573.001","68.084","20","1126","19","32677","0"
"3299","3658.529","85.528","28","1183","25","32677","0"
"3300","3695.029","36.5","19","1201","18","32530","0"
"3301","3762.635","67.605","26","1243","25","32530","0"
"3302","3921.82","159.185","29","1373","28","33881","0"
"3303","4030.812","108.992","35","1447","34","33881","0"
"3304","4153.236","122.425","19","1550","18","34026","0"
"3305","4268.448","115.212","20","1645","19","34026","0"
"3306","4331.496","63.048","39","1669","21","33145","0"
"3307","4384.184","52.688","24","1698","21","32570","0"
"3308","4509.509","125.326","32","1791","15","33015","0"
"3309","4567.433","57.923","30","1819","29","33015","0"
"3310","4618.094","50.661","33","1837","31","34127","0"
"3311","4727.119","109.025","21","1925","20","34127","0"
"3312","4799.745","72.626","18","1980","17","33367","0"
"3313","4888.238","88.493","27","2041","26","33367","0"
"3314","5010.013","121.775","20","2143","19","32666","0"
"3315","5104.707","94.694","21","2217","20","32666","0"
"3316","5144.313","39.606","14","2242","13","33598","0"
"3317","5210.339","66.026","26","2282","24","33598","0"
"3318","5304.101","93.762","28","2348","26","33595","0"
"3319","5371.205","67.104","33","2382","28","33595","0"
"3320","5437.574","66.369","19","2429","17","32881","0"
"3321","5502.508","64.934","20","2475","19","32881","0"
"3322","5581.026","78.518","13","2540","12","33189","0"
"3323","5633.342","52.316","20","2572","18","33189","0"
"3324","5723.029","89.686","19","2643","18","33294","0"
"3325","5805.282","82.253","20","2705","19","33294","0"
"3326","5854.99","49.708","23","2732","22","33294","0"
"3327","5940.85","85.86","18","2800","17","33031","0"
"3328","6043.565","102.715","29","2873","26","33031","0"
"3329","6284.104","240.538","32","3082","30","33064","0"
"3330","6296.83","12.726","32","3062","29","33307","0"
"3331","6350.775","53.945","28","3088","26","33307","0"
"3332","6409.038","58.263","58","3089","28","33511","0"
"3333","6520.255","111.217","19","3181","14","33708","0"
"3334","6600.473","80.218","12","3249","11","33355","0"
"3335","6674.616","74.143","15","3309","13","33355","0"
"3336","6732.057","57.442","23","3343","22","33355","0"
"3337","6857.952","125.895","28","3441","27","32650","0"
"3338","6922.305","64.352","60","3445","57","32650","0"
"3339","6956.28","33.976","37","3442","35","33754","0"
"3340","7047.401","91.12","85","3448","17","32642","0"
"3341","7120.865","73.464","15","3506","14","32642","0"
"3342","7164.654","43.789","16","3535","15","33165","0"
"3343","7232.318","67.665","28","3574","21","33165","0"
"3344","7312.616","80.298","24","3631","22","34096","0"
