frameId,receivedElapsedMs,receiveGapMs,producerGapMs,transportAfterCaptureMs,captureDoneAt,captureMs,bytes,idGap,transportMode
6449,87.993,0,0,-1189.078,1786821489326.0,17,30355,0,direct
6450,201.497,113.504,21.0,-1096.283,1786821489347.0,16,30772,0,direct
6451,270.262,68.765,17.0,-1044.443,1786821489364.0,15,30772,0,direct
6452,355.314,85.052,19.0,-978.421,1786821489383.0,18,34717,0,direct
6453,432.951,77.637,29.0,-930.043,1786821489412.0,28,34717,0,direct
6454,537.202,104.251,16.0,-841.922,1786821489428.0,15,34656,0,direct
6455,631.131,93.929,23.0,-770.785,1786821489451.0,22,34656,0,direct
6456,790.635,159.504,20.0,-631.465,1786821489471.0,19,34656,0,direct
6457,938.419,147.784,30.0,-513.343,1786821489501.0,29,32442,0,direct
6458,1041.379,102.96,19.0,-429.408,1786821489520.0,16,32429,0,direct
6459,1168.547,127.168,17.0,-319.4,1786821489537.0,13,32429,0,direct
6460,1207.358,38.811,23.0,-303.362,1786821489560.0,22,32429,0,direct
6461,1358.922,151.564,11.0,-162.975,1786821489571.0,10,33755,0,direct
6462,1479.063,120.141,20.0,-63.011,1786821489591.0,18,33755,0,direct
6463,1550.428,71.365,28.0,-19.736,1786821489619.0,27,33755,0,direct
6464,1652.45,102.022,54.0,28.336,1786821489673.0,16,33118,0,direct
6465,1727.328,74.878,25.0,78.699,1786821489698.0,23,33118,0,direct
6466,1794.346,67.018,41.0,104.743,1786821489739.0,25,32965,0,direct
6467,1846.212,51.866,27.0,129.566,1786821489766.0,26,33379,0,direct
6468,1888.183,41.971,17.0,153.262,1786821489783.0,16,33379,0,direct
6469,1979.255,91.072,23.0,222.399,1786821489806.0,22,33262,0,direct
6470,2048.438,69.183,63.0,228.371,1786821489869.0,25,32649,0,direct
6471,2154.232,105.794,15.0,319.397,1786821489884.0,14,33249,0,direct
6472,2225.759,71.527,18.0,372.864,1786821489902.0,17,33249,0,direct
6473,2265.45,39.691,17.0,395.741,1786821489919.0,16,33249,0,direct
6474,2330.32,64.87,24.0,436.124,1786821489943.0,22,34181,0,direct
6475,2395.577,65.257,18.0,483.83,1786821489961.0,17,34181,0,direct
6476,2455.416,59.839,23.0,520.655,1786821489984.0,22,33279,0,direct
6477,2530.317,74.901,18.0,577.44,1786821490002.0,17,33279,0,direct
6478,2601.948,71.631,18.0,630.969,1786821490020.0,17,32559,0,direct
6479,2690.712,88.764,20.0,699.891,1786821490040.0,18,32559,0,direct
6480,2774.009,83.297,43.0,740.115,1786821490083.0,41,32559,0,direct
6481,2934.196,160.187,40.0,860.154,1786821490123.0,39,33460,0,direct
6482,3009.16,74.964,23.0,911.641,1786821490146.0,18,33460,0,direct
6483,3105.798,96.638,26.0,982.71,1786821490172.0,25,33025,0,direct
6484,3221.251,115.453,108.0,990.47,1786821490280.0,106,33025,0,direct
6485,3269.794,48.543,58.0,980.919,1786821490338.0,27,32723,0,direct
6486,3351.914,82.12,20.0,1043.081,1786821490358.0,19,33276,0,direct
6487,3414.939,63.025,22.0,1084.247,1786821490380.0,21,33276,0,direct
6488,3479.829,64.89,31.0,1118.056,1786821490411.0,29,33923,0,direct
6489,3578.922,99.093,16.0,1200.969,1786821490427.0,15,33648,0,direct
6490,3632.13,53.208,24.0,1229.157,1786821490451.0,21,33648,0,direct
6491,3716.801,84.671,40.0,1274.865,1786821490491.0,22,32930,0,direct
6492,3777.801,61.0,30.0,1305.724,1786821490521.0,28,32930,0,direct
6493,3812.045,34.244,38.0,1301.924,1786821490559.0,37,32805,0,direct
6494,3905.057,93.012,26.0,1369.233,1786821490585.0,25,33502,0,direct
6495,3939.883,34.826,26.0,1378.232,1786821490611.0,25,33502,0,direct
6496,4006.095,66.212,23.0,1421.065,1786821490634.0,22,33975,0,direct
6497,4109.416,103.321,26.0,1498.568,1786821490660.0,24,32831,0,direct
6498,4147.291,37.875,28.0,1508.2,1786821490688.0,24,32831,0,direct
6499,4222.764,75.473,32.0,1551.967,1786821490720.0,31,32177,0,direct
6500,4370.936,148.172,32.0,1668.185,1786821490752.0,14,33926,0,direct
6501,4441.64,70.704,22.0,1716.579,1786821490774.0,20,33926,0,direct
6502,4484.869,43.229,34.0,1725.904,1786821490808.0,33,34155,0,direct
6503,4533.346,48.477,80.0,1694.709,1786821490888.0,20,32561,0,direct
6504,4640.551,107.205,16.0,1785.751,1786821490904.0,14,32561,0,direct
6505,4720.976,80.425,19.0,1846.863,1786821490923.0,16,32561,0,direct
6506,4810.432,89.456,19.0,1917.498,1786821490942.0,17,34003,0,direct
6507,4940.117,129.685,21.0,2026.24,1786821490963.0,20,34003,0,direct
6508,5045.689,105.572,19.0,2113.01,1786821490982.0,18,34051,0,direct
6509,5164.844,119.155,41.0,2190.947,1786821491023.0,38,34051,0,direct
6510,5227.154,62.31,15.0,2238.521,1786821491038.0,12,32852,0,direct
6511,5298.942,71.788,33.0,2277.023,1786821491071.0,31,32852,0,direct
6512,5351.023,52.081,25.0,2303.944,1786821491096.0,23,32456,0,direct
6513,5475.467,124.444,20.0,2408.678,1786821491116.0,19,33552,0,direct
6514,5536.711,61.244,27.0,2443.007,1786821491143.0,25,33552,0,direct
6515,5595.501,58.79,19.0,2482.869,1786821491162.0,18,33968,0,direct
6516,5682.659,87.158,15.0,2554.939,1786821491177.0,14,33968,0,direct
6517,5798.404,115.745,34.0,2636.765,1786821491211.0,32,33968,0,direct
6518,5865.027,66.623,38.0,2665.044,1786821491249.0,36,32839,0,direct
6519,5895.266,30.239,35.0,2660.232,1786821491284.0,22,32753,0,direct
6520,5954.298,59.032,24.0,2695.503,1786821491308.0,22,33476,0,direct
6521,6080.418,126.12,17.0,2804.056,1786821491325.0,16,33476,0,direct
6522,6159.974,79.556,19.0,2865.378,1786821491344.0,17,33188,0,direct
6523,6234.411,74.437,23.0,2916.524,1786821491367.0,21,33188,0,direct
6524,6313.724,79.313,20.0,2975.653,1786821491387.0,18,33339,0,direct
6525,6368.297,54.573,53.0,2977.322,1786821491440.0,23,33626,0,direct
6526,6438.351,70.054,22.0,3025.32,1786821491462.0,20,33626,0,direct
6527,6564.121,125.77,14.0,3137.012,1786821491476.0,13,33137,0,direct
6528,6656.347,92.226,28.0,3201.357,1786821491504.0,25,33137,0,direct
6529,6753.206,96.859,18.0,3280.512,1786821491522.0,16,33292,0,direct
6530,6814.781,61.575,33.0,3308.882,1786821491555.0,30,33292,0,direct
6651,6890.843,76.062,3059.0,326.076,1786821494614.0,19,33216,120,websocket
6686,6995.762,104.919,1092.0,-660.891,1786821495706.0,22,33452,34,websocket
6727,7492.191,496.429,1044.0,-1209.011,1786821496750.0,17,33510,40,websocket
6782,8529.86,1037.669,1047.0,-1217.768,1786821497797.0,15,32249,54,websocket
6842,9613.033,1083.173,1032.0,-1166.631,1786821498829.0,11,33100,59,websocket
6903,10647.831,1034.798,1043.0,-1175.227,1786821499872.0,12,33811,60,websocket
6961,11767.847,1120.016,1021.0,-1076.057,1786821500893.0,11,34108,57,websocket
7020,12728.36,960.513,1038.0,-1153.327,1786821501931.0,13,33035,58,websocket
7075,13789.937,1061.577,1037.0,-1128.711,1786821502968.0,13,32238,54,websocket
7133,14739.806,949.869,1030.0,-1208.913,1786821503998.0,12,33114,57,websocket
7198,15798.784,1058.978,1031.0,-1180.985,1786821505029.0,12,32990,64,websocket
7257,16805.815,1007.031,1025.0,-1198.923,1786821506054.0,11,32673,58,websocket
7317,17841.055,1035.24,1028.0,-1191.57,1786821507082.0,16,33435,59,websocket
7381,18838.901,997.846,1029.0,-1223.121,1786821508111.0,12,33116,63,websocket
7434,19953.578,1114.677,1042.0,-1150.459,1786821509153.0,22,33030,52,websocket
7489,21047.337,1093.759,1067.0,-1123.429,1786821510220.0,15,34106,54,websocket
7542,22059.131,1011.794,1041.0,-1152.575,1786821511261.0,14,33467,52,websocket
7599,23049.959,990.828,1033.0,-1194.906,1786821512294.0,12,33226,56,websocket
7662,24191.333,1141.374,1034.0,-1087.298,1786821513328.0,16,33310,62,websocket
7721,25161.195,969.862,1078.0,-1195.494,1786821514406.0,9,33318,58,websocket
7776,26287.838,1126.643,1039.0,-1107.793,1786821515445.0,19,33460,54,websocket
7832,27204.808,916.97,1043.0,-1234.289,1786821516488.0,14,32899,55,websocket
7891,28364.953,1160.145,1032.0,-1106.068,1786821517520.0,17,33069,58,websocket
7952,29325.84,960.887,1046.0,-1191.039,1786821518566.0,13,33086,60,websocket
8009,30388.845,1063.005,1036.0,-1163.977,1786821519602.0,14,33458,56,websocket
8067,31419.206,1030.361,1031.0,-1164.74,1786821520633.0,11,32399,57,websocket
